WKT,id,province_id,province_name,name,latitude,longitude
"POINT (109.0105818 -7.7021156)",3301.0,33.0,JAWA TENGAH,KABUPATEN CILACAP,-7.7021156,109.0105818
"POINT (109.16667 -7.45)",3302.0,33.0,JAWA TENGAH,KABUPATEN BANYUMAS,-7.45,109.16667
"POINT (109.3564582 -7.3856431)",3303.0,33.0,JAWA TENGAH,KABUPATEN PURBALINGGA,-7.3856431,109.3564582
"POINT (109.5476735 -7.4655089)",3304.0,33.0,JAWA TENGAH,KABUPATEN BANJARNEGARA,-7.4655089,109.5476735
"POINT (109.655067 -7.6936144)",3305.0,33.0,JAWA TENGAH,KABUPATEN KEBUMEN,-7.6936144,109.655067
"POINT (109.9749099 -7.724498)",3306.0,33.0,JAWA TENGAH,KABUPATEN PURWOREJO,-7.724498,109.9749099
"POINT (109.92667 -7.36139)",3307.0,33.0,JAWA TENGAH,KABUPATEN WONOSOBO,-7.36139,109.92667
"POINT (110.16194 -7.4275)",3308.0,33.0,JAWA TENGAH,KABUPATEN MAGELANG,-7.4275,110.16194
"POINT (110.7 -7.5)",3309.0,33.0,JAWA TENGAH,KABUPATEN BOYOLALI,-7.5,110.7
"POINT (110.61667 -7.68333)",3310.0,33.0,JAWA TENGAH,KABUPATEN KLATEN,-7.68333,110.61667
"POINT (110.83333 -7.68333)",3311.0,33.0,JAWA TENGAH,KABUPATEN SUKOHARJO,-7.68333,110.83333
"POINT (111.0 -7.91667)",3312.0,33.0,JAWA TENGAH,KABUPATEN WONOGIRI,-7.91667,111.0
"POINT (111.0625 -7.62806)",3313.0,33.0,JAWA TENGAH,KABUPATEN KARANGANYAR,-7.62806,111.0625
"POINT (110.935 -7.41278)",3314.0,33.0,JAWA TENGAH,KABUPATEN SRAGEN,-7.41278,110.935
"POINT (110.91667 -7.11667)",3315.0,33.0,JAWA TENGAH,KABUPATEN GROBOGAN,-7.11667,110.91667
"POINT (111.38333 -7.06667)",3316.0,33.0,JAWA TENGAH,KABUPATEN BLORA,-7.06667,111.38333
"POINT (111.46667 -6.78333)",3317.0,33.0,JAWA TENGAH,KABUPATEN REMBANG,-6.78333,111.46667
"POINT (111.1 -6.76667)",3318.0,33.0,JAWA TENGAH,KABUPATEN PATI,-6.76667,111.1
"POINT (110.86667 -6.8)",3319.0,33.0,JAWA TENGAH,KABUPATEN KUDUS,-6.8,110.86667
"POINT (110.76667 -6.58333)",3320.0,33.0,JAWA TENGAH,KABUPATEN JEPARA,-6.58333,110.76667
"POINT (110.6122 -6.8993)",3321.0,33.0,JAWA TENGAH,KABUPATEN DEMAK,-6.8993,110.6122
"POINT (110.44139 -7.20667)",3322.0,33.0,JAWA TENGAH,KABUPATEN SEMARANG,-7.20667,110.44139
"POINT (110.1832745 -7.3228803)",3323.0,33.0,JAWA TENGAH,KABUPATEN TEMANGGUNG,-7.3228803,110.1832745
"POINT (110.1987124 -6.932225)",3324.0,33.0,JAWA TENGAH,KABUPATEN KENDAL,-6.932225,110.1987124
"POINT (109.7357018 -6.9140527)",3325.0,33.0,JAWA TENGAH,KABUPATEN BATANG,-6.9140527,109.7357018
"POINT (109.624 -7.0319)",3326.0,33.0,JAWA TENGAH,KABUPATEN PEKALONGAN,-7.0319,109.624
"POINT (109.3732185 -6.9024636)",3327.0,33.0,JAWA TENGAH,KABUPATEN PEMALANG,-6.9024636,109.3732185
"POINT (109.16667 -7.03333)",3328.0,33.0,JAWA TENGAH,KABUPATEN TEGAL,-7.03333,109.16667
"POINT (108.9 -7.05)",3329.0,33.0,JAWA TENGAH,KABUPATEN BREBES,-7.05,108.9
"POINT (110.225 -7.5)",3371.0,33.0,JAWA TENGAH,KOTA MAGELANG,-7.5,110.225
"POINT (110.81667 -7.55)",3372.0,33.0,JAWA TENGAH,KOTA SURAKARTA,-7.55,110.81667
"POINT (110.48333 -7.33278)",3373.0,33.0,JAWA TENGAH,KOTA SALATIGA,-7.33278,110.48333
"POINT (110.4245287 -6.9924386)",3374.0,33.0,JAWA TENGAH,KOTA SEMARANG,-6.9924386,110.4245287
"POINT (109.6613573 -6.8911379)",3375.0,33.0,JAWA TENGAH,KOTA PEKALONGAN,-6.8911379,109.6613573
"POINT (109.1129 -6.8686)",3376.0,33.0,JAWA TENGAH,KOTA TEGAL,-6.8686,109.1129
